Category,City,Country/Region,Order Date,Year,Month,Order ID,Postal Code,Product ID,Product Name,Region,Segment,Ship Date,Ship Mode,Ship Status,State,Sub-Category,Days to Ship Actual,Days to Ship Scheduled,Discount,Profit,Quantity,Sales,Sales Forecast
Office Supplies,Phoenix,United States,16-08-2018,2018,Aug,US-2018-128090,85023,OFF-PA-10001878,Xerox 1891,West,Consumer,22-08-2018,Standard Class,Shipped On Time,Arizona,Paper,6,6,20,106,8,313,469
Office Supplies,Phoenix,United States,16-08-2018,2018,Aug,US-2018-128090,85023,OFF-LA-10000452,Avery 488,West,Consumer,22-08-2018,Standard Class,Shipped On Time,Arizona,Labels,6,6,20,2,2,5,8
Furniture,Henderson,United States,19-11-2020,2020,Nov,CA-2020-101042,42420,FUR-FU-10004665,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",South,Consumer,23-11-2020,Standard Class,Shipped Early,Kentucky,Furnishings,4,6,0,214,6,822,1231
Office Supplies,Henderson,United States,19-11-2020,2020,Nov,CA-2020-101042,42420,OFF-BI-10000088,GBC Imprintable Covers,South,Consumer,23-11-2020,Standard Class,Shipped Early,Kentucky,Binders,4,6,0,11,2,22,33
Office Supplies,Columbia,United States,14-09-2019,2019,Sep,CA-2019-155439,29203,OFF-PA-10000029,Xerox 224,South,Home Office,18-09-2019,Standard Class,Shipped Early,South Carolina,Paper,4,6,0,12,4,26,39
Technology,Tallahassee,United States,15-08-2019,2019,Aug,CA-2019-118626,32303,TEC-PH-10000369,HTC One Mini,South,Consumer,20-08-2019,Standard Class,Shipped Early,Florida,Phones,5,6,20,71,7,706,1057
Technology,New York City,United States,26-09-2018,2018,Sep,CA-2018-111458,10035,TEC-AC-10001590,Dell Slim USB Multimedia Keyboard,East,Consumer,30-09-2018,Standard Class,Shipped Early,New York,Accessories,4,6,0,12,2,50,75
Furniture,Houston,United States,08-10-2019,2019,Oct,US-2019-126844,77070,FUR-FU-10004909,Contemporary Wood/Metal Frame,Central,Corporate,14-10-2019,Standard Class,Shipped On Time,Texas,Furnishings,6,6,60,32,8,52,77
Office Supplies,Coral Springs,United States,24-03-2018,2018,Mar,US-2018-112508,33065,OFF-AP-10002287,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",South,Corporate,30-03-2018,Standard Class,Shipped On Time,Florida,Appliances,6,6,20,1,2,7,10
Furniture,Orem,United States,31-05-2018,2018,May,CA-2018-147788,84057,FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,West,Consumer,04-06-2018,Standard Class,Shipped Early,Utah,Bookcases,4,6,0,141,7,1407,2107
Office Supplies,Orem,United States,31-05-2018,2018,May,CA-2018-147788,84057,OFF-LA-10003766,Self-Adhesive Removable Labels,West,Consumer,04-06-2018,Standard Class,Shipped Early,Utah,Labels,4,6,0,8,5,16,24
Office Supplies,Orem,United States,31-05-2018,2018,May,CA-2018-147788,84057,OFF-ST-10000046,Fellowes Super Stor/Drawer Files,West,Consumer,04-06-2018,Standard Class,Shipped Early,Utah,Storage,4,6,0,61,2,323,484
Office Supplies,Nashville,United States,25-12-2018,2018,Dec,CA-2018-144288,37211,OFF-LA-10003190,Avery 474,South,Consumer,31-12-2018,Standard Class,Shipped On Time,Tennessee,Labels,6,6,20,3,4,9,14
Office Supplies,Nashville,United States,25-12-2018,2018,Dec,CA-2018-144288,37211,OFF-PA-10002787,Xerox 227,South,Consumer,31-12-2018,Standard Class,Shipped On Time,Tennessee,Paper,6,6,20,4,2,10,16
Technology,New York City,United States,17-03-2018,2018,Mar,CA-2018-110632,10009,TEC-AC-10000387,KeyTronic KT800P2 - Keyboard - Black,East,Corporate,22-03-2018,Second Class,Shipped Late,New York,Accessories,5,3,0,3,1,15,22
Office Supplies,New York City,United States,17-03-2018,2018,Mar,CA-2018-110632,10009,OFF-ST-10001291,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",East,Corporate,22-03-2018,Second Class,Shipped Late,New York,Storage,5,3,0,9,2,34,51
Technology,Bowling Green,United States,21-12-2020,2020,Dec,CA-2020-109589,42104,TEC-AC-10003116,Memorex Froggy Flash Drive 8 GB,South,Consumer,24-12-2020,First Class,Shipped Late,Kentucky,Accessories,3,1,0,28,4,71,106
Office Supplies,Bellingham,United States,01-11-2020,2020,Nov,CA-2020-123967,98226,OFF-BI-10001308,GBC Standard Plastic Binding Systems' Combs,West,Consumer,03-11-2020,Second Class,Shipped Early,Washington,Binders,2,3,20,8,5,25,38
Furniture,Bellingham,United States,01-11-2020,2020,Nov,CA-2020-123967,98226,FUR-TA-10003954,Hon 94000 Series Round Tables,West,Consumer,03-11-2020,Second Class,Shipped Early,Washington,Tables,2,3,0,240,9,2666,3992
Office Supplies,New York City,United States,07-09-2020,2020,Sep,CA-2020-148929,10011,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",East,Corporate,11-09-2020,Standard Class,Shipped Early,New York,Storage,4,6,0,134,8,478,716
Technology,Newark,United States,27-12-2020,2020,Dec,CA-2020-134404,43055,TEC-PH-10000576,AT&T 1080 Corded phone,East,Corporate,27-12-2020,Same Day,Shipped On Time,Ohio,Phones,0,0,40,36,2,164,246
Office Supplies,Newark,United States,27-12-2020,2020,Dec,CA-2020-134404,43055,OFF-AR-10004441,BIC Brite Liner Highlighters,East,Corporate,27-12-2020,Same Day,Shipped On Time,Ohio,Art,0,0,20,4,4,13,20
Office Supplies,Woodstock,United States,16-07-2020,2020,Jul,CA-2020-109778,60098,OFF-AR-10003759,"Crayola Anti Dust Chalk, 12/Pack",Central,Home Office,21-07-2020,Standard Class,Shipped Early,Illinois,Art,5,6,20,1,2,3,4
Technology,Carrollton,United States,12-08-2019,2019,Aug,CA-2019-155845,75007,TEC-AC-10004145,Logitech diNovo Edge Keyboard,Central,Consumer,15-08-2019,Second Class,Shipped On Time,Texas,Accessories,3,3,20,52,7,1400,2097
Furniture,Lafayette,United States,09-07-2020,2020,Jul,CA-2020-145128,47905,FUR-FU-10000293,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Central,Home Office,14-07-2020,Standard Class,Shipped Early,Indiana,Furnishings,5,6,0,32,5,526,788
Office Supplies,Columbus,United States,22-11-2017,2017,Nov,CA-2017-129091,31907,OFF-EN-10004955,Fashion Color Clasp Envelopes,South,Corporate,27-11-2017,Standard Class,Shipped Early,Georgia,Envelopes,5,6,0,8,3,16,24
Office Supplies,Columbus,United States,22-11-2017,2017,Nov,CA-2017-129091,31907,OFF-BI-10001071,GBC ProClick Punch Binding System,South,Corporate,27-11-2017,Standard Class,Shipped Early,Georgia,Binders,5,6,0,157,5,320,479
Office Supplies,Columbus,United States,22-11-2017,2017,Nov,CA-2017-129091,31907,OFF-EN-10001990,Staple envelope,South,Corporate,27-11-2017,Standard Class,Shipped Early,Georgia,Envelopes,5,6,0,5,2,11,17
Office Supplies,Columbus,United States,22-11-2017,2017,Nov,CA-2017-129091,31907,OFF-AP-10002734,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,South,Corporate,27-11-2017,Standard Class,Shipped Early,Georgia,Appliances,5,6,0,290,3,675,1011
Furniture,Alexandria,United States,26-01-2017,2017,Jan,US-2017-155502,22304,FUR-FU-10004587,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,Home Office,31-01-2017,Standard Class,Shipped Early,Virginia,Furnishings,5,6,0,31,3,63,94
Office Supplies,Alexandria,United States,26-01-2017,2017,Jan,US-2017-155502,22304,OFF-ST-10004337,"SAFCO Commercial Wire Shelving, 72h",South,Home Office,31-01-2017,Standard Class,Shipped Early,Virginia,Storage,5,6,0,0,8,490,734
Office Supplies,Alexandria,United States,26-01-2017,2017,Jan,US-2017-155502,22304,OFF-PA-10003072,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,Home Office,31-01-2017,Standard Class,Shipped Early,Virginia,Paper,5,6,0,9,3,19,29
Office Supplies,Alexandria,United States,26-01-2017,2017,Jan,US-2017-155502,22304,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,Home Office,31-01-2017,Standard Class,Shipped Early,Virginia,Paper,5,6,0,8,2,17,25
Technology,Alexandria,United States,26-01-2017,2017,Jan,US-2017-155502,22304,TEC-PH-10004833,Macally Suction Cup Mount,South,Home Office,31-01-2017,Standard Class,Shipped Early,Virginia,Phones,5,6,0,0,13,155,233
Furniture,Alexandria,United States,26-01-2017,2017,Jan,US-2017-155502,22304,FUR-FU-10001847,Eldon Image Series Black Desk Accessories,South,Home Office,31-01-2017,Standard Class,Shipped Early,Virginia,Furnishings,5,6,0,4,3,12,19
Technology,Alexandria,United States,26-01-2017,2017,Jan,US-2017-155502,22304,TEC-PH-10002103,Jabra SPEAK 410,South,Home Office,31-01-2017,Standard Class,Shipped Early,Virginia,Phones,5,6,0,53,2,188,282
Office Supplies,Haltom City,United States,03-11-2018,2018,Nov,CA-2018-121041,76117,OFF-EN-10001137,"#10 Gummed Flap White Envelopes, 100/Box",Central,Corporate,10-11-2018,Standard Class,Shipped Late,Texas,Envelopes,7,6,20,2,2,7,10
Office Supplies,New York City,United States,30-06-2020,2020,Jun,CA-2020-131695,10024,OFF-ST-10001476,Steel Personal Filing/Posting Tote,East,Consumer,06-07-2020,Standard Class,Shipped On Time,New York,Storage,6,6,0,67,7,249,372
Furniture,New York City,United States,30-06-2020,2020,Jun,CA-2020-131695,10024,FUR-FU-10002045,"Executive Impressions 14""",East,Consumer,06-07-2020,Standard Class,Shipped On Time,New York,Furnishings,6,6,0,10,1,22,33
Office Supplies,Los Angeles,United States,05-05-2019,2019,May,CA-2019-137729,90004,OFF-ST-10001505,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",West,Home Office,09-05-2019,Standard Class,Shipped Early,California,Storage,4,6,0,1,1,6,9
Technology,Los Angeles,United States,05-05-2019,2019,May,CA-2019-137729,90004,TEC-PH-10001433,Cisco Small Business SPA 502G VoIP phone,West,Home Office,09-05-2019,Standard Class,Shipped Early,California,Phones,4,6,20,22,3,246,369
Furniture,Wheeling,United States,08-09-2019,2019,Sep,US-2019-115455,60090,FUR-FU-10004671,"Executive Impressions 12"" Wall Clock",Central,Consumer,14-09-2019,Standard Class,Shipped On Time,Illinois,Furnishings,6,6,60,8,2,14,21
Furniture,Wheeling,United States,08-09-2019,2019,Sep,US-2019-115455,60090,FUR-TA-10003569,Bretford CR8500 Series Meeting Room Furniture,Central,Consumer,14-09-2019,Standard Class,Shipped On Time,Illinois,Tables,6,6,50,301,3,601,901
Technology,Summerville,United States,24-11-2020,2020,Nov,CA-2020-128300,29483,TEC-PH-10002807,Motorla HX550 Universal Bluetooth Headset,South,Corporate,26-11-2020,Second Class,Shipped Early,South Carolina,Phones,2,3,0,40,2,79,118
Office Supplies,Summerville,United States,24-11-2020,2020,Nov,CA-2020-128300,29483,OFF-BI-10001597,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",South,Corporate,26-11-2020,Second Class,Shipped Early,South Carolina,Binders,2,3,0,157,8,328,491
Office Supplies,Columbus,United States,13-05-2020,2020,May,CA-2020-149048,47201,OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Central,Corporate,17-05-2020,Standard Class,Shipped Early,Indiana,Envelopes,4,6,0,81,2,181,271
Office Supplies,Columbus,United States,13-05-2020,2020,May,CA-2020-149048,47201,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,Central,Corporate,17-05-2020,Standard Class,Shipped Early,Indiana,Binders,4,6,0,412,3,915,1370
Technology,Columbus,United States,13-05-2020,2020,May,CA-2020-149048,47201,TEC-PH-10002310,Plantronics Calisto P620-M USB Wireless Speakerphone System,Central,Corporate,17-05-2020,Standard Class,Shipped Early,Indiana,Phones,4,6,0,159,3,588,881
Office Supplies,Columbus,United States,13-05-2020,2020,May,CA-2020-149048,47201,OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,Central,Corporate,17-05-2020,Standard Class,Shipped Early,Indiana,Storage,4,6,0,95,2,530,794
Office Supplies,Columbus,United States,13-05-2020,2020,May,CA-2020-149048,47201,OFF-PA-10001752,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Central,Corporate,17-05-2020,Standard Class,Shipped Early,Indiana,Paper,4,6,0,7,3,15,22
Office Supplies,New York City,United States,23-04-2020,2020,Apr,CA-2020-108553,10024,OFF-AP-10000026,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,East,Consumer,29-04-2020,Standard Class,Shipped On Time,New York,Appliances,6,6,0,35,2,122,183
Office Supplies,New York City,United States,23-04-2020,2020,Apr,CA-2020-108553,10024,OFF-SU-10002573,"Acme 10"" Easy Grip Assistive Scissors",East,Consumer,29-04-2020,Standard Class,Shipped On Time,New York,Supplies,6,6,0,37,7,123,184
Office Supplies,New York City,United States,04-06-2019,2019,Jun,CA-2019-165848,10035,OFF-PA-10000349,Easy-staple paper,East,Consumer,04-06-2019,Same Day,Shipped On Time,New York,Paper,0,0,0,7,3,15,22
Technology,New York City,United States,04-06-2019,2019,Jun,CA-2019-165848,10035,TEC-MA-10003356,Panasonic KX MC6040 Color Laser Multifunction Printer,East,Consumer,04-06-2019,Same Day,Shipped On Time,New York,Machines,0,0,0,364,3,1350,2022
Furniture,New York City,United States,04-06-2019,2019,Jun,CA-2019-165848,10035,FUR-BO-10000362,Sauder Inglewood Library Bookcases,East,Consumer,04-06-2019,Same Day,Shipped On Time,New York,Bookcases,0,0,20,5,1,137,205
Furniture,New York City,United States,04-06-2019,2019,Jun,CA-2019-165848,10035,FUR-FU-10003878,"Linden 10"" Round Wall Clock, Black",East,Consumer,04-06-2019,Same Day,Shipped On Time,New York,Furnishings,0,0,0,21,4,61,92
Office Supplies,Jacksonville,United States,16-12-2017,2017,Dec,CA-2017-112718,32216,OFF-BI-10000591,Avery Binder Labels,South,Corporate,21-12-2017,Standard Class,Shipped Early,Florida,Binders,5,6,70,1,1,1,2
Office Supplies,San Diego,United States,04-03-2019,2019,Mar,CA-2019-154053,92024,OFF-AR-10003727,Berol Giant Pencil Sharpener,West,Home Office,10-03-2019,Standard Class,Shipped On Time,California,Art,6,6,0,5,1,17,25
Technology,Arlington,United States,25-11-2017,2017,Nov,CA-2017-127446,76017,TEC-AC-10001635,KeyTronic KT400U2 - Keyboard - Black,Central,Corporate,30-11-2017,Standard Class,Shipped Early,Texas,Accessories,5,6,20,0,3,25,37
Office Supplies,Arlington,United States,25-11-2017,2017,Nov,CA-2017-127446,76017,OFF-LA-10001317,Avery 520,Central,Corporate,30-11-2017,Standard Class,Shipped Early,Texas,Labels,5,6,20,1,1,3,4
Furniture,Arlington,United States,25-11-2017,2017,Nov,CA-2017-127446,76017,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Central,Corporate,30-11-2017,Standard Class,Shipped Early,Texas,Tables,5,6,30,122,5,1219,1825
Office Supplies,Arlington,United States,25-11-2017,2017,Nov,CA-2017-127446,76017,OFF-LA-10000248,Avery 52,Central,Corporate,30-11-2017,Standard Class,Shipped Early,Texas,Labels,5,6,20,2,2,6,9
Office Supplies,Arlington,United States,25-11-2017,2017,Nov,CA-2017-127446,76017,OFF-PA-10000955,Southworth 25% Cotton Granite Paper & Envelopes,Central,Corporate,30-11-2017,Standard Class,Shipped Early,Texas,Paper,5,6,20,5,3,16,24
Furniture,Arlington,United States,25-11-2017,2017,Nov,CA-2017-127446,76017,FUR-FU-10000221,"Master Caster Door Stop, Brown",Central,Corporate,30-11-2017,Standard Class,Shipped Early,Texas,Furnishings,5,6,60,4,3,6,9
Furniture,Los Angeles,United States,28-04-2019,2019,Apr,CA-2019-137204,90045,FUR-CH-10002304,"Global Stack Chair without Arms, Black",West,Corporate,05-05-2019,Standard Class,Shipped Late,California,Chairs,7,6,20,3,2,42,62
Furniture,Los Angeles,United States,26-04-2017,2017,Apr,CA-2017-147298,90049,FUR-CH-10004886,Bevis Steel Folding Chairs,West,Corporate,03-05-2017,Standard Class,Shipped Late,California,Chairs,7,6,20,23,3,230,345
Office Supplies,Los Angeles,United States,26-04-2017,2017,Apr,CA-2017-147298,90049,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",West,Corporate,03-05-2017,Standard Class,Shipped Late,California,Binders,7,6,20,6,6,18,27
Office Supplies,San Francisco,United States,01-04-2020,2020,Apr,CA-2020-147942,94110,OFF-LA-10003663,Avery 498,West,Consumer,05-04-2020,Standard Class,Shipped Early,California,Labels,4,6,0,3,2,6,9
Office Supplies,San Francisco,United States,01-04-2020,2020,Apr,CA-2020-147942,94110,OFF-BI-10001294,Fellowes Binding Cases,West,Consumer,05-04-2020,Standard Class,Shipped Early,California,Binders,4,6,20,38,13,122,182
Office Supplies,Carlsbad,United States,22-12-2020,2020,Dec,CA-2020-115931,88220,OFF-AR-10000369,Design Ebony Sketching Pencil,West,Corporate,26-12-2020,Standard Class,Shipped Early,New Mexico,Art,4,6,0,1,3,4,6
Technology,Carlsbad,United States,22-12-2020,2020,Dec,CA-2020-115931,88220,TEC-PH-10001300,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",West,Corporate,26-12-2020,Standard Class,Shipped Early,New Mexico,Phones,4,6,20,7,4,67,100
Office Supplies,Carlsbad,United States,22-12-2020,2020,Dec,CA-2020-115931,88220,OFF-ST-10000876,Eldon Simplefile Box Office,West,Corporate,26-12-2020,Standard Class,Shipped Early,New Mexico,Storage,4,6,0,10,3,37,56
Office Supplies,Carlsbad,United States,22-12-2020,2020,Dec,CA-2020-115931,88220,OFF-LA-10001404,Avery 517,West,Corporate,26-12-2020,Standard Class,Shipped Early,New Mexico,Labels,4,6,0,9,5,18,28
Office Supplies,Saint Louis,United States,03-12-2017,2017,Dec,CA-2017-164861,63116,OFF-PA-10001972,Xerox 214,Central,Corporate,06-12-2017,Second Class,Shipped On Time,Missouri,Paper,3,3,0,12,4,26,39
Technology,New York City,United States,22-10-2020,2020,Oct,CA-2020-127180,10024,TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,East,Home Office,24-10-2020,First Class,Shipped Late,New York,Copiers,2,1,20,3920,4,11200,16773
Technology,New York City,United States,22-10-2020,2020,Oct,CA-2020-127180,10024,TEC-PH-10001494,Polycom CX600 IP Phone VoIP phone,East,Home Office,24-10-2020,First Class,Shipped Late,New York,Phones,2,1,0,648,8,2400,3594
Office Supplies,New York City,United States,22-10-2020,2020,Oct,CA-2020-127180,10024,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,East,Home Office,24-10-2020,First Class,Shipped Late,New York,Envelopes,2,1,0,29,5,64,96
Technology,New York City,United States,22-10-2020,2020,Oct,CA-2020-127180,10024,TEC-PH-10003800,i.Sound Portable Power - 8000 mAh,East,Home Office,24-10-2020,First Class,Shipped Late,New York,Phones,2,1,0,1,1,53,79
Technology,Springfield,United States,13-11-2020,2020,Nov,US-2020-165344,45503,TEC-AC-10002399,SanDisk Cruzer 32 GB USB Flash Drive,East,Corporate,15-11-2020,First Class,Shipped Late,Ohio,Accessories,2,1,20,9,4,61,91
Technology,Springfield,United States,13-11-2020,2020,Nov,US-2020-165344,45503,TEC-MA-10002210,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,East,Corporate,15-11-2020,First Class,Shipped Late,Ohio,Machines,2,1,70,936,7,653,978
Office Supplies,Springfield,United States,13-11-2020,2020,Nov,US-2020-165344,45503,OFF-BI-10003196,Accohide Poly Flexible Ring Binders,East,Corporate,15-11-2020,First Class,Shipped Late,Ohio,Binders,2,1,70,7,10,11,17
Office Supplies,Tulsa,United States,10-09-2018,2018,Sep,CA-2018-168186,74133,OFF-PA-10000477,Xerox 1952,Central,Consumer,15-09-2018,Standard Class,Shipped Early,Oklahoma,Paper,5,6,0,7,3,15,22
Furniture,Seattle,United States,15-05-2020,2020,May,US-2020-110604,98103,FUR-FU-10000076,24-Hour Round Wall Clock,West,Consumer,20-05-2020,Standard Class,Shipped Early,Washington,Furnishings,5,6,0,17,2,40,60
Furniture,Seattle,United States,15-05-2020,2020,May,US-2020-110604,98103,FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,West,Consumer,20-05-2020,Standard Class,Shipped Early,Washington,Chairs,5,6,20,4,2,43,64
Furniture,Seattle,United States,15-05-2020,2020,May,US-2020-110604,98103,FUR-CH-10004287,SAFCO Arco Folding Chair,West,Consumer,20-05-2020,Standard Class,Shipped Early,Washington,Chairs,5,6,20,25,1,221,331
Furniture,Fayetteville,United States,05-07-2018,2018,Jul,CA-2018-116750,28314,FUR-FU-10003829,Stackable Trays,South,Corporate,10-07-2018,Second Class,Shipped Late,North Carolina,Furnishings,5,3,20,1,2,5,7
Office Supplies,Fayetteville,United States,05-07-2018,2018,Jul,CA-2018-116750,28314,OFF-BI-10004728,Wilson Jones Turn Tabs Binder Tool for Ring Binders,South,Corporate,10-07-2018,Second Class,Shipped Late,North Carolina,Binders,5,3,70,6,5,7,11
Office Supplies,Los Angeles,United States,15-08-2018,2018,Aug,CA-2018-162369,90045,OFF-ST-10000046,Fellowes Super Stor/Drawer Files,West,Corporate,19-08-2018,Standard Class,Shipped Early,California,Storage,4,6,0,61,2,323,484
Office Supplies,New York City,United States,12-06-2020,2020,Jun,CA-2020-108441,10035,OFF-PA-10000697,"TOPS Voice Message Log Book, Flash Format",East,Consumer,18-06-2020,Standard Class,Shipped On Time,New York,Paper,6,6,0,9,4,19,29
Office Supplies,New York City,United States,12-06-2020,2020,Jun,CA-2020-108441,10035,OFF-BI-10000848,Angle-D Ring Binders,East,Consumer,18-06-2020,Standard Class,Shipped On Time,New York,Binders,6,6,20,4,3,13,20
Office Supplies,New York City,United States,12-06-2020,2020,Jun,CA-2020-108441,10035,OFF-AR-10004691,Boston 1730 StandUp Electric Pencil Sharpener,East,Consumer,18-06-2020,Standard Class,Shipped On Time,New York,Art,6,6,0,17,3,64,96
Furniture,New York City,United States,12-06-2020,2020,Jun,CA-2020-108441,10035,FUR-CH-10000595,Safco Contoured Stacking Chairs,East,Consumer,18-06-2020,Standard Class,Shipped On Time,New York,Chairs,6,6,10,143,4,858,1285
Technology,Hot Springs,United States,20-02-2018,2018,Feb,CA-2018-169740,71901,TEC-AC-10000927,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,South,Consumer,25-02-2018,Standard Class,Shipped Early,Arkansas,Accessories,5,6,0,3,1,30,45
Office Supplies,Aurora,United States,29-12-2019,2019,Dec,CA-2019-124051,60505,OFF-PA-10001289,White Computer Printout Paper by Universal,Central,Consumer,30-12-2019,First Class,Shipped On Time,Illinois,Paper,1,1,20,67,6,186,279
Technology,Raleigh,United States,17-04-2019,2019,Apr,CA-2019-149111,27604,TEC-PH-10003092,Motorola L804,South,Home Office,21-04-2019,Second Class,Shipped Late,North Carolina,Phones,4,3,20,4,1,37,55
Furniture,Raleigh,United States,17-04-2019,2019,Apr,CA-2019-149111,27604,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",South,Home Office,21-04-2019,Second Class,Shipped Late,North Carolina,Furnishings,4,3,20,6,8,19,28
Furniture,Tulsa,United States,07-09-2017,2017,Sep,CA-2017-131002,74133,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",Central,Consumer,12-09-2017,Second Class,Shipped Late,Oklahoma,Furnishings,5,3,0,24,3,58,86
Office Supplies,Tulsa,United States,07-09-2017,2017,Sep,CA-2017-131002,74133,OFF-BI-10000948,"GBC Laser Imprintable Binding System Covers, Desert Sand",Central,Consumer,12-09-2017,Second Class,Shipped Late,Oklahoma,Binders,5,3,0,20,3,43,64
Office Supplies,Tulsa,United States,07-09-2017,2017,Sep,CA-2017-131002,74133,OFF-PA-10000223,Xerox 2000,Central,Consumer,12-09-2017,Second Class,Shipped Late,Oklahoma,Paper,5,3,0,6,2,13,19
Furniture,Tulsa,United States,07-09-2017,2017,Sep,CA-2017-131002,74133,FUR-FU-10004665,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Central,Consumer,12-09-2017,Second Class,Shipped Late,Oklahoma,Furnishings,5,3,0,214,6,822,1231
Technology,Tulsa,United States,07-09-2017,2017,Sep,CA-2017-131002,74133,TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,Central,Consumer,12-09-2017,Second Class,Shipped Late,Oklahoma,Phones,5,3,0,28,3,105,157
Furniture,Hesperia,United States,26-09-2019,2019,Sep,US-2019-146794,92345,FUR-BO-10004467,Bestar Classic Bookcase,West,Corporate,01-10-2019,Standard Class,Shipped Early,California,Bookcases,5,6,15,20,5,425,636
Office Supplies,Provo,United States,17-09-2020,2020,Sep,CA-2020-112515,84604,OFF-BI-10000829,Avery Non-Stick Binders,West,Corporate,21-09-2020,Second Class,Shipped Late,Utah,Binders,4,3,20,4,3,11,16
Office Supplies,Provo,United States,17-09-2020,2020,Sep,CA-2020-112515,84604,OFF-BI-10003712,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",West,Corporate,21-09-2020,Second Class,Shipped Late,Utah,Binders,4,3,20,4,3,12,18
Office Supplies,Provo,United States,17-09-2020,2020,Sep,CA-2020-112515,84604,OFF-PA-10000062,Green Bar Computer Printout Paper,West,Corporate,21-09-2020,Second Class,Shipped Late,Utah,Paper,4,3,0,81,3,165,247
Furniture,Provo,United States,17-09-2020,2020,Sep,CA-2020-112515,84604,FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",West,Corporate,21-09-2020,Second Class,Shipped Late,Utah,Bookcases,4,3,0,78,3,1293,1936
Office Supplies,Provo,United States,17-09-2020,2020,Sep,CA-2020-112515,84604,OFF-BI-10004233,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",West,Corporate,21-09-2020,Second Class,Shipped Late,Utah,Binders,4,3,20,9,2,26,38
Office Supplies,Provo,United States,17-09-2020,2020,Sep,CA-2020-112515,84604,OFF-ST-10001272,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",West,Corporate,21-09-2020,Second Class,Shipped Late,Utah,Storage,4,3,0,65,2,262,392
Office Supplies,Provo,United States,17-09-2020,2020,Sep,CA-2020-112515,84604,OFF-LA-10001175,Avery 514,West,Corporate,21-09-2020,Second Class,Shipped Late,Utah,Labels,4,3,0,7,5,14,22
Office Supplies,San Francisco,United States,16-08-2019,2019,Aug,CA-2019-150343,94110,OFF-EN-10004030,Convenience Packs of Business Envelopes,West,Consumer,20-08-2019,Standard Class,Shipped Early,California,Envelopes,4,6,0,5,3,11,16
Furniture,Gilbert,United States,24-12-2018,2018,Dec,CA-2018-135538,85234,FUR-CH-10004287,SAFCO Arco Folding Chair,West,Corporate,28-12-2018,Standard Class,Shipped Early,Arizona,Chairs,4,6,20,99,4,884,1324
Technology,New York City,United States,28-11-2020,2020,Nov,CA-2020-123372,10035,TEC-PH-10002834,Google Nexus 5,East,Corporate,02-12-2020,Standard Class,Shipped Early,New York,Phones,4,6,0,495,11,1980,2965
Office Supplies,New York City,United States,28-11-2020,2020,Nov,CA-2020-123372,10035,OFF-EN-10003055,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",East,Corporate,02-12-2020,Standard Class,Shipped Early,New York,Envelopes,4,6,0,36,2,80,120
Office Supplies,Springfield,United States,14-04-2020,2020,Apr,CA-2020-159604,65807,OFF-BI-10003460,Acco 3-Hole Punch,Central,Home Office,15-04-2020,First Class,Shipped On Time,Missouri,Binders,1,1,0,4,2,9,13
